z TM e p Hepp Hep He HeHp H Hm H2 H2p H3p D Dp HD HDp H2Dp H2para H2orto    HD_0    HD_1    HD_2    HD_3    HD_4    HD_5    HD_6    HD_7    HD_8    HD_v1j0    HD_v1j1    HD_9    HD_v1j2    HD_v1j3    HD_v1j4    HD_10    HD_ALL
3960.9106 10800.167 1.0816894 1 1.4573703e-08 0.99999962 3.645163e-07 3.0582438e-24 1.0427307e-11 2.5640595e-29 5.4120495e-48 3.3019599e-29 3.0945817e-59 1.0427307e-11 1 7.6631135e-46 3.3019599e-29 1.0933753e-69 0.25 0.75    0.0098025277    0.02906009    0.047299406    0.063920102    0.078430259    0.090472519    0.099837177    0.10646171    0.11041724    0.0060422467    0.017921732    0.11188647    0.029200115    0.039521292    0.048591274    0.11113584    1
3921.1262 10691.715 1.0816894 1 8.4317862e-09 0.99999953 4.5904492e-07 4.0393941e-24 1.1911436e-11 2.9145373e-29 7.8577596e-48 3.7231792e-29 5.4199975e-59 1.1911435e-11 1 1.1320314e-45 3.7231792e-29 2.1857034e-69 0.25 0.75    0.0098362819    0.02915664    0.047445151    0.064094084    0.078606459    0.090622593    0.099933263    0.10647897    0.11033584    0.0060333674    0.017893331    0.1116929    0.029147138    0.039436065    0.048464503    0.11082342    1
3882.0651 10585.234 1.0816894 1 4.8733081e-09 0.99999941 5.8546301e-07 5.3222895e-24 1.3612042e-11 3.3145587e-29 1.1424133e-47 4.2013283e-29 9.5111042e-59 1.3612042e-11 1 1.6739122e-45 4.2013283e-29 4.379399e-69 0.25 0.75    0.0098701719    0.029253563    0.047591409    0.064268584    0.078783046    0.090772813    0.10002921    0.10649583    0.11025391    0.0060244612    0.017864853    0.11149886    0.029094047    0.039350713    0.048337645    0.11051088    1
3843.0041 10478.754 1.0816894 1 2.7852259e-09 0.99999924 7.5482058e-07 7.0320356e-24 1.5600085e-11 3.7803788e-29 1.6747791e-47 4.7551875e-29 1.6897864e-58 1.5600085e-11 1 2.4956637e-45 4.7551875e-29 8.9093055e-69 0.25 0.75    0.0099048295    0.029352665    0.047740904    0.064446852    0.0789633    0.090925962    0.10012677    0.10651259    0.11016992    0.0060153624    0.017835768    0.11130077    0.029039855    0.039263652    0.04820835    0.11019245    1
3804.6664 10374.245 1.0816894 1 1.5904418e-09 0.99999902 9.7621046e-07 9.2699239e-24 1.7884719e-11 4.313649e-29 2.458305e-47 5.3860019e-29 3.0073679e-58 1.7884719e-11 1 3.7240634e-45 5.3860019e-29 1.8162599e-68 0.25 0.75    0.009939617    0.029452121    0.047890883    0.064625598    0.079143892    0.091079205    0.10022416    0.10652893    0.1100854    0.0060062388    0.017806613    0.11110227    0.028985563    0.039176494    0.048079011    0.109874    1
3766.3287 10269.736 1.0816893 1 8.9782865e-10 0.99999873 1.2708601e-06 1.2257717e-23 2.0564213e-11 4.9367318e-29 3.6392665e-47 6.1194094e-29 5.4203084e-58 2.0564213e-11 1 5.6042361e-45 6.1194094e-29 3.7606421e-68 0.25 0.75    0.009975195    0.029553821    0.048044191    0.06480821    0.079328239    0.091235435    0.10032318    0.10654513    0.10999876    0.0059969176    0.017776836    0.11089962    0.028930145    0.039087589    0.047947188    0.10954955    1
3728.7143 10167.2 1.0816893 1 5.0648224e-10 0.99999834 1.6560488e-06 1.6175541e-23 2.3652427e-11 5.6521979e-29 5.3936935e-47 6.9575354e-29 9.7840011e-58 2.3652426e-11 1 8.4400309e-45 6.9575354e-29 7.8007126e-68 0.25 0.75    0.010010896    0.029655853    0.048197947    0.064991256    0.07951287    0.091391704    0.10042196    0.10656089    0.10991159    0.0059875741    0.017746998    0.11069662    0.028874643    0.038998616    0.047815369    0.10922521    1
3691.1 10064.663 1.0816893 1 2.8238386e-10 0.99999783 2.170498e-06 2.141967e-23 2.728628e-11 6.4910073e-29 8.0639605e-47 7.9356276e-29 1.7889267e-57 2.728628e-11 1 1.2821207e-44 7.9356276e-29 1.6439452e-67 0.25 0.75    0.01004741    0.029760193    0.048355123    0.065178266    0.079701342    0.091551014    0.10052241    0.10657648    0.10982223    0.0059780279    0.017716523    0.11048936    0.028817989    0.038907862    0.04768102    0.10889476    1
3654.209 9964.098 1.0816892 1 1.5735974e-10 0.99999715 2.8460672e-06 2.8313938e-23 3.1486653e-11 7.4571151e-29 1.2068372e-46 9.0571737e-29 3.2749195e-57 3.1486653e-11 1 1.9488848e-44 9.0571737e-29 3.4696498e-67 0.25 0.75    0.010084039    0.029864841    0.048512708    0.065365656    0.079890037    0.091710301    0.10062256    0.10659159    0.10973236    0.0059684622    0.017685995    0.11028183    0.028761271    0.03881707    0.047546728    0.10856456    1
3617.318 9863.5331 1.0816891 1 8.664427e-11 0.99999625 3.7533302e-06 3.7572862e-23 3.644548e-11 8.593656e-29 1.822334e-46 1.0370978e-28 6.073964e-57 3.644548e-11 1 2.9887461e-44 1.0370978e-28 7.4417396e-67 0.25 0.75    0.010121504    0.02997186    0.048673805    0.065557111    0.080082659    0.091872685    0.10072438    0.10660651    0.10964021    0.0059586889    0.017654815    0.11006994    0.028703374    0.038724462    0.047409862    0.10822814    1
