zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    1.3455258e-11    0    0    0    0    0    0    0    2.0869448e-16    4.2217041e-15    0    0    0    0    0    0    0    0    0    0    0    8.5600501e-16    3.9663543e-14    1.8149229e-14    7.0630109e-14    1.4258474e-14    0    0    0    0    0    0    0
1100.0498    1.3514516e-11    0    0    0    0    0    0    0    2.1126204e-16    4.2690918e-15    0    0    0    0    0    0    0    0    0    0    0    8.6617756e-16    4.0133648e-14    1.8357795e-14    7.1453866e-14    1.4420815e-14    0    0    0    0    0    0    0
1099.3264    1.3571919e-11    0    0    0    0    0    0    0    2.138551e-16    4.3169059e-15    0    0    0    0    0    0    0    0    0    0    0    8.7645415e-16    4.0608463e-14    1.8568361e-14    7.2285687e-14    1.4584693e-14    0    0    0    0    0    0    0
1098.603    1.3627403e-11    0    0    0    0    0    0    0    2.1647387e-16    4.3651493e-15    0    0    0    0    0    0    0    0    0    0    0    8.8683582e-16    4.1088033e-14    1.8780946e-14    7.3125642e-14    1.4750118e-14    0    0    0    0    0    0    0
1097.8797    1.3680907e-11    0    0    0    0    0    0    0    2.191185e-16    4.413825e-15    0    0    0    0    0    0    0    0    0    0    0    8.9732366e-16    4.1572399e-14    1.8995567e-14    7.3973803e-14    1.4917105e-14    0    0    0    0    0    0    0
1097.1563    1.3732365e-11    0    0    0    0    0    0    0    2.2178918e-16    4.4629361e-15    0    0    0    0    0    0    0    0    0    0    0    9.0791873e-16    4.2061605e-14    1.9212242e-14    7.4830243e-14    1.5085667e-14    0    0    0    0    0    0    0
1096.433    1.3781712e-11    0    0    0    0    0    0    0    2.2448609e-16    4.5124855e-15    0    0    0    0    0    0    0    0    0    0    0    9.1862215e-16    4.2555695e-14    1.9430988e-14    7.5695035e-14    1.5255817e-14    0    0    0    0    0    0    0
1095.7096    1.3828881e-11    0    0    0    0    0    0    0    2.272094e-16    4.5624763e-15    0    0    0    0    0    0    0    0    0    0    0    9.2943501e-16    4.3054714e-14    1.9651823e-14    7.6568251e-14    1.5427569e-14    0    0    0    0    0    0    0
1094.9863    1.3873805e-11    0    0    0    0    0    0    0    2.2995929e-16    4.6129115e-15    0    0    0    0    0    0    0    0    0    0    0    9.4035843e-16    4.3558705e-14    1.9874766e-14    7.7449966e-14    1.5600935e-14    0    0    0    0    0    0    0
1094.2629    1.3916413e-11    0    0    0    0    0    0    0    2.3273593e-16    4.6637941e-15    0    0    0    0    0    0    0    0    0    0    0    9.5139355e-16    4.4067714e-14    2.0099833e-14    7.8340253e-14    1.577593e-14    0    0    0    0    0    0    0
