zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    2.3961266e-11    9.0995125e-10    1.561402e-09    1.8008064e-08    1.0921399e-09    4.3743952e-08    0    5.1840614e-08    1.5376186e-12    1.0987151e-11    2.8986695e-11    4.5536798e-11    7.0527038e-11    8.4565059e-11    8.5122902e-11    6.9390984e-11    1.0242515e-12    5.6597605e-12    0    5.5211244e-11    9.4438564e-12    0    1.1924283e-11    0    1.4975153e-11    0    2.9873449e-11    5.1524116e-10    0    0    0    0    0
1100.0498    2.3804873e-11    9.1120613e-10    1.5657062e-09    1.8071708e-08    1.2580295e-09    4.4213509e-08    0    5.2931566e-08    1.5787842e-12    1.1277497e-11    2.9746824e-11    4.6723224e-11    7.2362085e-11    8.6764527e-11    8.7338306e-11    7.1186329e-11    1.0510892e-12    5.8067204e-12    0    5.665659e-11    9.6888743e-12    0    1.2235355e-11    0    1.5369395e-11    0    3.0658257e-11    5.2868093e-10    0    0    0    0    0
1099.3264    2.3650536e-11    9.1227454e-10    1.5695729e-09    1.8130529e-08    1.4172057e-09    4.4658452e-08    0    5.3972872e-08    1.6208749e-12    1.1574245e-11    3.052352e-11    4.7935299e-11    7.4236382e-11    8.9010692e-11    8.9600448e-11    7.3018957e-11    1.0785026e-12    5.9568222e-12    0    5.8132199e-11    9.9390878e-12    0    1.2553018e-11    0    1.5772004e-11    0    3.1459448e-11    5.4240581e-10    0    0    0    0    0
1098.603    2.3498472e-11    9.1317447e-10    1.5730363e-09    1.8184894e-08    1.5699125e-09    4.5080027e-08    0    5.4966741e-08    1.6638854e-12    1.1877351e-11    3.1316652e-11    4.9172804e-11    7.614955e-11    9.1303067e-11    9.1908809e-11    7.4888398e-11    1.106485e-12    6.1100348e-12    0    5.9637701e-11    1.0194441e-11    0    1.28772e-11    0    1.6182883e-11    0    3.2276817e-11    5.5641275e-10    0    0    0    0    0
1097.8797    2.3348885e-11    9.1392348e-10    1.5761298e-09    1.8235159e-08    1.7163912e-09    4.5479464e-08    0    5.5915351e-08    1.7078084e-12    1.2186755e-11    3.2126048e-11    5.043546e-11    7.8101113e-11    9.3641045e-11    9.4262743e-11    7.6794082e-11    1.1350281e-12    6.2663189e-12    0    6.1172644e-11    1.0454864e-11    0    1.3207808e-11    0    1.6601917e-11    0    3.311011e-11    5.7069797e-10    0    0    0    0    0
1097.1563    2.3201973e-11    9.1453866e-10    1.5788859e-09    1.8281673e-08    1.85688e-09    4.5857974e-08    0    5.6820849e-08    1.7526341e-12    1.250238e-11    3.2951496e-11    5.1722919e-11    8.0090489e-11    9.6023893e-11    9.6661481e-11    7.8735331e-11    1.1641221e-12    6.425627e-12    0    6.2736488e-11    1.0720273e-11    0    1.3544733e-11    0    1.7028964e-11    0    3.3959028e-11    5.8525691e-10    0    0    0    0    0
1096.433    2.3057925e-11    9.1503667e-10    1.5813363e-09    1.832478e-08    1.9916133e-09    4.6216744e-08    0    5.7685349e-08    1.7983508e-12    1.2824132e-11    3.3792739e-11    5.3034766e-11    8.211699e-11    9.8450746e-11    9.9104118e-11    8.0711358e-11    1.1937553e-12    6.5879025e-12    0    6.4328608e-11    1.0990568e-11    0    1.3887846e-11    0    1.746386e-11    0    3.4823224e-11    6.0008418e-10    0    0    0    0    0
1095.7096    2.2916922e-11    9.154337e-10    1.583512e-09    1.8364814e-08    2.120822e-09    4.6556944e-08    0    5.8510927e-08    1.8449439e-12    1.3151901e-11    3.4649474e-11    5.4370517e-11    8.4179816e-11    1.0092061e-10    1.0158961e-10    8.2721265e-11    1.2239142e-12    6.7530802e-12    0    6.5948284e-11    1.1265637e-11    0    1.4236999e-11    0    1.7906415e-11    0    3.57023e-11    6.1517361e-10    0    0    0    0    0
1094.9863    2.2779137e-11    9.1574548e-10    1.585443e-09    1.8402101e-08    2.2447327e-09    4.6879718e-08    0    5.929962e-08    1.8923967e-12    1.3485561e-11    3.5521355e-11    5.5729614e-11    8.6278056e-11    1.0343234e-10    1.0411678e-10    8.4764037e-11    1.2545837e-12    6.9210855e-12    0    6.7594706e-11    1.154535e-11    0    1.4592025e-11    0    1.8356415e-11    0    3.6595808e-11    6.3051815e-10    0    0    0    0    0
1094.2629    2.2644734e-11    9.1598731e-10    1.5871585e-09    1.8436959e-08    2.3635681e-09    4.7186187e-08    0    6.0053426e-08    1.9406898e-12    1.3824963e-11    3.6407985e-11    5.7111426e-11    8.8410679e-11    1.0598467e-10    1.0668431e-10    8.6838543e-11    1.2857466e-12    7.0918344e-12    0    6.9266966e-11    1.1829561e-11    0    1.4952734e-11    0    1.8813619e-11    0    3.7503246e-11    6.4610988e-10    0    0    0    0    0
1093.5396    2.2513872e-11    9.16174e-10    1.5886866e-09    1.8469699e-08    2.4775458e-09    4.7477448e-08    0    6.0774301e-08    1.9898013e-12    1.4169945e-11    3.7308923e-11    5.8515246e-11    9.0576538e-11    1.0857617e-10    1.0929071e-10    8.8943532e-11    1.3173839e-12    7.2652333e-12    0    7.0964062e-11    1.2118108e-11    0    1.5318917e-11    0    1.9277758e-11    0    3.8424062e-11    6.6194003e-10    0    0    0    0    0
1092.8162    2.23867e-11    9.1631994e-10    1.590055e-09    1.8500623e-08    2.5868791e-09    4.7754574e-08    0    6.1464158e-08    2.0397064e-12    1.4520324e-11    3.8223674e-11    5.9940291e-11    9.2774365e-11    1.1120528e-10    1.1193438e-10    9.1077631e-11    1.3494747e-12    7.4411789e-12    0    7.2684889e-11    1.2410815e-11    0    1.5690344e-11    0    1.9748538e-11    0    3.9357648e-11    6.7799888e-10    0    0    0    0    0
1092.0929    2.2263365e-11    9.1643907e-10    1.5912902e-09    1.8530024e-08    2.6917765e-09    4.8018611e-08    0    6.2124864e-08    2.090378e-12    1.4875896e-11    3.9151697e-11    6.1385698e-11    9.5002769e-11    1.1387029e-10    1.1461354e-10    9.3239345e-11    1.3819961e-12    7.6195577e-12    0    7.4428245e-11    1.2707484e-11    0    1.6066762e-11    0    2.0225637e-11    0    4.0303342e-11    6.9427584e-10    0    0    0    0    0
1091.3695    2.2144001e-11    9.1654488e-10    1.5924179e-09    1.8558188e-08    2.7924413e-09    4.8270579e-08    0    6.2758244e-08    2.1417859e-12    1.5236441e-11    4.0092399e-11    6.2850528e-11    9.7260235e-11    1.1656932e-10    1.1732627e-10    9.5427054e-11    1.414923e-12    7.8002465e-12    0    7.6192829e-11    1.3007907e-11    0    1.6447898e-11    0    2.0708706e-11    0    4.1260427e-11    7.107594e-10    0    0    0    0    0
1090.6462    2.2028741e-11    9.1665046e-10    1.593463e-09    1.8585393e-08    2.8890719e-09    4.8511472e-08    0    6.3366076e-08    2.1938972e-12    1.5601717e-11    4.1045134e-11    6.4333759e-11    9.9545125e-11    1.1930038e-10    1.200705e-10    9.7639017e-11    1.4482288e-12    7.9831119e-12    0    7.7977237e-11    1.3311852e-11    0    1.6833457e-11    0    2.1197368e-11    0    4.2228131e-11    7.274371e-10    0    0    0    0    0
1089.9228    2.191771e-11    9.1676845e-10    1.5944498e-09    1.8611908e-08    2.9818615e-09    4.874226e-08    0    6.3950092e-08    2.2466764e-12    1.5971465e-11    4.2009209e-11    6.5834294e-11    1.0185568e-10    1.2206129e-10    1.2284402e-10    9.9873367e-11    1.4818844e-12    8.1680104e-12    0    7.9779964e-11    1.3619076e-11    0    1.722312e-11    0    2.1691217e-11    0    4.3205629e-11    7.4429559e-10    0    0    0    0    0
1089.1995    2.1811027e-11    9.1691112e-10    1.5954015e-09    1.8637995e-08    3.0709983e-09    4.8963884e-08    0    6.4511979e-08    2.3000851e-12    1.6345402e-11    4.2983877e-11    6.7350951e-11    1.0419001e-10    1.2484974e-10    1.2564443e-10    1.0212812e-10    1.5158589e-12    8.3547884e-12    0    8.1599409e-11    1.3929316e-11    0    1.7616551e-11    0    2.2189822e-11    0    4.419204e-11    7.613206e-10    0    0    0    0    0
1088.4761    2.1708807e-11    9.1709033e-10    1.5963405e-09    1.8663909e-08    3.156665e-09    4.917726e-08    0    6.5053378e-08    2.354082e-12    1.6723231e-11    4.3968342e-11    6.8882475e-11    1.065461e-10    1.2766328e-10    1.2846923e-10    1.0440115e-10    1.5501196e-12    8.5432826e-12    0    8.3433867e-11    1.4242292e-11    0    1.8013389e-11    0    2.2692723e-11    0    4.5186429e-11    7.7849692e-10    0    0    0    0    0
1087.7528    2.1635554e-11    9.175615e-10    1.5971448e-09    1.8688017e-08    3.2202025e-09    4.9333547e-08    0    6.5463136e-08    2.3920085e-12    1.6986242e-11    4.4650257e-11    6.9939055e-11    1.0815729e-10    1.2957576e-10    1.303792e-10    1.0592188e-10    1.5728017e-12    8.6716089e-12    0    8.4663284e-11    1.4453899e-11    0    1.828067e-11    0    2.3031313e-11    0    4.5851067e-11    7.9014334e-10    0    0    0    0    0
1087.0294    2.172752e-11    9.2335898e-10    1.6060036e-09    1.880598e-08    3.2604182e-09    4.9641837e-08    0    6.5974828e-08    2.407903e-12    1.7091812e-11    4.4917474e-11    7.0344674e-11    1.0874219e-10    1.3024242e-10    1.3102007e-10    1.0639519e-10    1.5790619e-12    8.7167754e-12    0    8.504718e-11    1.4524856e-11    0    1.836736e-11    0    2.3140133e-11    0    4.6053749e-11    7.9412235e-10    0    0    0    0    0
1086.306    2.1861899e-11    9.3099384e-10    1.6180394e-09    1.8961285e-08    3.3074301e-09    5.0048495e-08    0    6.6618743e-08    2.428861e-12    1.7233213e-11    4.5278702e-11    7.0897336e-11    1.0955392e-10    1.3118039e-10    1.3193355e-10    1.0708932e-10    1.5885968e-12    8.7801087e-12    0    8.5607726e-11    1.4626037e-11    0    1.8492248e-11    0    2.3297083e-11    0    4.6352045e-11    7.9975494e-10    0    0    0    0    0
1085.5827    2.1994849e-11    9.3860661e-10    1.6300155e-09    1.9116056e-08    3.3547061e-09    5.0453523e-08    0    6.7262168e-08    2.4500748e-12    1.7376303e-11    4.5644189e-11    7.1456453e-11    1.1037505e-10    1.3212918e-10    1.3285753e-10    1.0779133e-10    1.5982444e-12    8.8441765e-12    0    8.6174714e-11    1.4728385e-11    0    1.8618582e-11    0    2.3455862e-11    0    4.6653772e-11    8.0545266e-10    0    0    0    0    0
1084.8593    2.2128573e-11    9.4629126e-10    1.6420952e-09    1.9272203e-08    3.4025778e-09    5.086195e-08    0    6.7911793e-08    2.4717964e-12    1.7522867e-11    4.601862e-11    7.2029353e-11    1.1121691e-10    1.331023e-10    1.3380559e-10    1.0851221e-10    1.6081681e-12    8.9098844e-12    0    8.6756948e-11    1.4833407e-11    0    1.8748267e-11    0    2.3618869e-11    0    4.6963696e-11    8.1129794e-10    0    0    0    0    0
1084.136    2.2264052e-11    9.5409009e-10    1.6543513e-09    1.9430585e-08    3.4511981e-09    5.1276028e-08    0    6.8570638e-08    2.4941449e-12    1.7673744e-11    4.640419e-11    7.2619464e-11    1.1208474e-10    1.3410606e-10    1.3478405e-10    1.0925707e-10    1.618443e-12    8.9776537e-12    0    8.7358501e-11    1.4941802e-11    0    1.8882184e-11    0    2.3787215e-11    0    4.7284018e-11    8.1732907e-10    0    0    0    0    0
1083.4126    2.239859e-11    9.6188798e-10    1.6665841e-09    1.9588854e-08    3.5001503e-09    5.1689546e-08    0    6.9230406e-08    2.5168306e-12    1.7826875e-11    4.6795491e-11    7.3218318e-11    1.1296547e-10    1.3512476e-10    1.3577711e-10    1.1001308e-10    1.6288792e-12    9.0464348e-12    0    8.7969125e-11    1.5051821e-11    0    1.9018121e-11    0    2.3958112e-11    0    4.760919e-11    8.2345041e-10    0    0    0    0    0
1082.6893    2.25312e-11    9.6964231e-10    1.6787197e-09    1.9746139e-08    3.5492734e-09    5.210019e-08    0    6.9887978e-08    2.5397516e-12    1.7981538e-11    4.719062e-11    7.3822931e-11    1.1385448e-10    1.3615288e-10    1.3677922e-10    1.1077572e-10    1.6394098e-12    9.1158578e-12    0    8.858521e-11    1.5162848e-11    0    1.91553e-11    0    2.4130578e-11    0    4.7937254e-11    8.2962824e-10    0    0    0    0    0
1081.9659    2.2662845e-11    9.7739421e-10    1.6908293e-09    1.9903273e-08    3.5987107e-09    5.2510151e-08    0    7.0546265e-08    2.5630241e-12    1.8138551e-11    4.7591723e-11    7.4436657e-11    1.1475693e-10    1.3719658e-10    1.3779657e-10    1.1155e-10    1.6501091e-12    9.1863361e-12    0    8.9210761e-11    1.5275569e-11    0    1.9294587e-11    0    2.4305706e-11    0    4.8270378e-11    8.3590018e-10    0    0    0    0    0
1081.2426    2.2794104e-11    9.8516854e-10    1.702956e-09    2.0060759e-08    3.648549e-09    5.2920741e-08    0    7.1207015e-08    2.5867223e-12    1.8298438e-11    4.8000168e-11    7.5061632e-11    1.1567609e-10    1.3825977e-10    1.3883308e-10    1.1233907e-10    1.6610236e-12    9.2581316e-12    0    8.9848299e-11    1.5390418e-11    0    1.9436529e-11    0    2.4484186e-11    0    4.8609924e-11    8.4228997e-10    0    0    0    0    0
1080.5192    2.2924712e-11    9.9295389e-10    1.71508e-09    2.0218362e-08    3.698742e-09    5.3331326e-08    0    7.1869364e-08    2.6108264e-12    1.8461054e-11    4.8415572e-11    7.5697249e-11    1.1661103e-10    1.3934131e-10    1.3988757e-10    1.1314196e-10    1.6721393e-12    9.3311678e-12    0    9.0497062e-11    1.5507266e-11    0    1.9580963e-11    0    2.4665809e-11    0    4.8955477e-11    8.4879061e-10    0    0    0    0    0
1079.7959    2.3054401e-11    1.0007384e-09    1.7271807e-09    2.0375837e-08    3.7492404e-09    5.3741246e-08    0    7.2532409e-08    2.6353154e-12    1.8626248e-11    4.8837532e-11    7.6342876e-11    1.1756074e-10    1.4043999e-10    1.4095883e-10    1.1395769e-10    1.6834414e-12    9.4053648e-12    0    9.1156252e-11    1.5625979e-11    0    1.9727719e-11    0    2.4850363e-11    0    4.9306603e-11    8.5539478e-10    0    0    0    0    0
1079.0725    2.3183197e-11    1.0085232e-09    1.73926e-09    2.0533204e-08    3.8000431e-09    5.4150539e-08    0    7.3196184e-08    2.6602025e-12    1.8794109e-11    4.9266278e-11    7.6998863e-11    1.1852576e-10    1.4155644e-10    1.4204749e-10    1.1478674e-10    1.6949371e-12    9.4807645e-12    0    9.1826255e-11    1.5746626e-11    0    1.9876881e-11    0    2.5037954e-11    0    4.9663511e-11    8.6210624e-10    0    0    0    0    0
1078.3492    2.3311172e-11    1.0163112e-09    1.7513228e-09    2.0690516e-08    3.8511554e-09    5.4559338e-08    0    7.386085e-08    2.6855055e-12    1.896476e-11    4.9702127e-11    7.7665706e-11    1.1950683e-10    1.4269153e-10    1.431544e-10    1.1562978e-10    1.7066366e-12    9.557426e-12    0    9.2507624e-11    1.5869302e-11    0    2.0028572e-11    0    2.5228734e-11    0    5.0026494e-11    8.6893029e-10    0    0    0    0    0
1077.6258    2.3438285e-11    1.0241004e-09    1.763366e-09    2.0847733e-08    3.9025646e-09    5.496752e-08    0    7.4526224e-08    2.7112302e-12    1.9138239e-11    5.0145172e-11    7.8343539e-11    1.2050415e-10    1.4384548e-10    1.4427977e-10    1.1648696e-10    1.7185422e-12    9.6353644e-12    0    9.3200482e-11    1.5994032e-11    0    2.018282e-11    0    2.5422739e-11    0    5.039562e-11    8.7586827e-10    0    0    0    0    0
1076.9025    2.3564464e-11    1.0318875e-09    1.7753836e-09    2.1004783e-08    3.9542527e-09    5.5374885e-08    0    7.5192017e-08    2.7373788e-12    1.9314556e-11    5.0595439e-11    7.9032399e-11    1.2151774e-10    1.4501833e-10    1.4542364e-10    1.173583e-10    1.730654e-12    9.7145823e-12    0    9.3904833e-11    1.6120819e-11    0    2.0339627e-11    0    2.5619973e-11    0    5.0770888e-11    8.8292034e-10    0    0    0    0    0
1076.1791    2.3689675e-11    1.0396709e-09    1.7873728e-09    2.1161628e-08    4.0062069e-09    5.5781317e-08    0    7.5858054e-08    2.7639579e-12    1.9493755e-11    5.1053032e-11    7.9732445e-11    1.2254786e-10    1.4621034e-10    1.4658625e-10    1.1824398e-10    1.7429749e-12    9.7950977e-12    0    9.4620829e-11    1.6249689e-11    0    2.0499029e-11    0    2.5820479e-11    0    5.1152377e-11    8.9008809e-10    0    0    0    0    0
1075.4558    2.3813899e-11    1.0474494e-09    1.7993317e-09    2.1318242e-08    4.0584174e-09    5.6186742e-08    0    7.6524212e-08    2.7909761e-12    1.9675893e-11    5.1518099e-11    8.04439e-11    1.2359481e-10    1.4742188e-10    1.4776796e-10    1.1914427e-10    1.7555091e-12    9.8769363e-12    0    9.5348696e-11    1.6380686e-11    0    2.0661075e-11    0    2.6024322e-11    0    5.1540208e-11    8.9737379e-10    0    0    0    0    0
1074.7324    2.3937106e-11    1.0552215e-09    1.8112577e-09    2.1474592e-08    4.1108722e-09    5.6591055e-08    0    7.7190332e-08    2.8184409e-12    1.9861019e-11    5.1990763e-11    8.1166952e-11    1.2465887e-10    1.4865327e-10    1.4896909e-10    1.2005941e-10    1.76826e-12    9.9601193e-12    0    9.6088616e-11    1.6513841e-11    0    2.0825809e-11    0    2.6231552e-11    0    5.1934477e-11    9.0477931e-10    0    0    0    0    0
1074.009    2.4059259e-11    1.0629854e-09    1.8231476e-09    2.1630635e-08    4.1635575e-09    5.6994133e-08    0    7.7856222e-08    2.8463591e-12    2.0049178e-11    5.2471133e-11    8.1901765e-11    1.2574028e-10    1.4990478e-10    1.5018988e-10    1.2098957e-10    1.7812306e-12    1.0044665e-11    0    9.6840746e-11    1.6649185e-11    0    2.0993266e-11    0    2.6442215e-11    0    5.2335267e-11    9.1230626e-10    0    0    0    0    0
