zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    4.9834077e-11    0    0    0    0    0    0    0    5.3270822e-13    3.7790372e-12    9.9149238e-12    1.5503063e-11    2.3315941e-11    2.7355977e-11    2.6936854e-11    2.132418e-11    2.937205e-13    1.8595864e-12    0    1.6682775e-11    3.0263344e-12    0    3.7304927e-12    0    4.5930734e-12    0    8.8723365e-12    1.6415021e-10    0    0    0    0    0
1100.0498    5.0331537e-11    0    0    0    0    0    0    0    5.4073009e-13    3.8342219e-12    1.0057504e-11    1.572257e-11    2.3638695e-11    2.7728938e-11    2.729992e-11    2.1601762e-11    2.9719439e-13    1.884824e-12    0    1.6904217e-11    3.0666616e-12    0    3.779774e-12    0    4.6545806e-12    0    8.9902251e-12    1.6638026e-10    0    0    0    0    0
1099.3264    5.0829121e-11    0    0    0    0    0    0    0    5.4878405e-13    3.8895822e-12    1.0200471e-11    1.5942573e-11    2.3961943e-11    2.8102278e-11    2.7663188e-11    2.1879185e-11    3.0065687e-13    1.9100888e-12    0    1.7125618e-11    3.1070056e-12    0    3.8290619e-12    0    4.7161087e-12    0    9.1080766e-12    1.6861217e-10    0    0    0    0    0
1098.603    5.1326965e-11    0    0    0    0    0    0    0    5.5686903e-13    3.9451101e-12    1.0343801e-11    1.6163037e-11    2.4285629e-11    2.8475927e-11    2.8026584e-11    2.2156389e-11    3.0410701e-13    1.9353763e-12    0    1.7346927e-11    3.1473587e-12    0    3.8783461e-12    0    4.7776444e-12    0    9.2258631e-12    1.708455e-10    0    0    0    0    0
1097.8797    5.1825214e-11    0    0    0    0    0    0    0    5.649839e-13    4.0007972e-12    1.0487472e-11    1.6383926e-11    2.4609694e-11    2.8849811e-11    2.8390034e-11    2.243331e-11    3.0754389e-13    1.9606818e-12    0    1.7568093e-11    3.1877126e-12    0    3.9276163e-12    0    4.8391742e-12    0    9.3435567e-12    1.730798e-10    0    0    0    0    0
1097.1563    5.2324016e-11    0    0    0    0    0    0    0    5.7312752e-13    4.056635e-12    1.0631462e-11    1.6605203e-11    2.4934079e-11    2.9223859e-11    2.8753462e-11    2.2709884e-11    3.1096658e-13    1.9860007e-12    0    1.7789064e-11    3.2280594e-12    0    3.9768619e-12    0    4.9006846e-12    0    9.4611288e-12    1.7531462e-10    0    0    0    0    0
1096.433    5.2823527e-11    1.8924143e-11    0    0    0    0    0    0    5.8129875e-13    4.1126151e-12    1.0775747e-11    1.6826833e-11    2.5258725e-11    2.9597997e-11    2.9116792e-11    2.2986049e-11    3.1437412e-13    2.0113281e-12    0    1.800979e-11    3.2683907e-12    0    4.0260723e-12    0    4.9621617e-12    0    9.578551e-12    1.7754951e-10    0    0    0    0    0
1095.7096    5.3323908e-11    5.2129368e-11    0    0    0    0    0    0    5.8949638e-13    4.1687284e-12    1.0920303e-11    1.7048776e-11    2.558357e-11    2.9972148e-11    2.9479946e-11    2.3261738e-11    3.1776556e-13    2.0366593e-12    0    1.8230216e-11    3.3086981e-12    0    4.0752365e-12    0    5.0235916e-12    0    9.6957939e-12    1.79784e-10    0    0    0    0    0
1094.9863    5.3825324e-11    8.5141352e-11    0    0    0    0    0    0    5.9771921e-13    4.2249662e-12    1.1065106e-11    1.7270994e-11    2.5908554e-11    3.0346238e-11    2.9842845e-11    2.3536887e-11    3.2113994e-13    2.0619893e-12    0    1.845029e-11    3.3489733e-12    0    4.1243437e-12    0    5.0849601e-12    0    9.8128284e-12    1.8201762e-10    0    0    0    0    0
1094.2629    5.4327946e-11    1.1795771e-10    0    0    0    0    0    0    6.0596599e-13    4.2813193e-12    1.1210132e-11    1.7493449e-11    2.6233612e-11    3.0720189e-11    3.020541e-11    2.3811428e-11    3.2449627e-13    2.0873131e-12    0    1.8669957e-11    3.3892075e-12    0    4.1733828e-12    0    5.1462529e-12    0    9.9296246e-12    1.842499e-10    0    0    0    0    0
1093.5396    5.4831948e-11    1.505766e-10    0    0    0    0    0    0    6.1423547e-13    4.3377784e-12    1.1355356e-11    1.7716101e-11    2.6558682e-11    3.1093923e-11    3.0567561e-11    2.4085296e-11    3.2783357e-13    2.1126256e-12    0    1.8889164e-11    3.4293921e-12    0    4.2223425e-12    0    5.2074556e-12    0    1.0046153e-11    1.8648035e-10    0    0    0    0    0
1092.8162    5.5337512e-11    1.8299669e-10    0    0    0    0    0    0    6.2252635e-13    4.394334e-12    1.1500752e-11    1.793891e-11    2.6883698e-11    3.1467361e-11    3.0929215e-11    2.4358421e-11    3.3115083e-13    2.1379218e-12    0    1.9107855e-11    3.4695183e-12    0    4.2712114e-12    0    5.2685534e-12    0    1.0162382e-11    1.8870849e-10    0    0    0    0    0
